title;label;label_score
Wakil Menkeu : Kenaikan Iuran BPJS Tidak Akan Berpengaruh pada Penduduk Miskin;non-clickbait;0
Miliki Reputasi Kualitas Dunia, Powerbank G-Power Diluncurkan di Indonesia;non-clickbait;0
Ruangan Eldin dan Kadis PU Disegel KPK Sejak Dinihari;non-clickbait;0
Gubernur Sumbar : Kita Harus Bantu Pulangkan Seluruh Orang Minang Dari Papua;non-clickbait;0
Polres Binjai Apresiasi Kedisiplinan Guru dan Siswa di SD Negeri 020263 Binjai;non-clickbait;0
Sebrangi Selat, Kawanan Babi Hutan Indonesia Invasi Malaysia;non-clickbait;0
Setahun Eramas, PDIP : Gubsu Pemimpin Toruble Maker, Bukan Problem Solver;non-clickbait;0
Bantahan Pihak BPJS Kesehatan : Iuran Tidak Naik, Hanya Disesuaikan;non-clickbait;0
Kerja Tak Kenal Waktu, Dokter dan Wartawan Paling Berisiko Bunuh Diri;non-clickbait;0
Dapat Restu Prabowo, DAS Maju di Pilkada Kota Medan 2020;non-clickbait;0
Marinir Turun, Demo Mereda, Mahasiswa : Terima Kasih Sudah Lindungi Kami dari Pak Polisi;non-clickbait;0
Anak dan Istrinya Diteror Warganet, Abdul Azis Lapor Polisi;non-clickbait;0
Wiranto : Kebakaran Hutan dan Lahan Selesai Kalau Hujan Datang;non-clickbait;0
Kapoldasu : Demo Mahasiswa di Sumut Ditunggangi DPO Teroris;non-clickbait;0
Atas Perintah Jokowi : Rektor dan Dosen yang Mahasiswanya Demo, Akan Kena Sanksi;non-clickbait;0
Presiden dan DPR Setuju, Melawan saat Penggusuran Bakal Dipenjara dan Denda Rp500 Juta;non-clickbait;0
Akhyar : Wali Kota Ditangkap Gara-gara Proposal Minta Bantuan Warga;non-clickbait;0
JK : Sound System Masjid kadang Mengganggu, Akan Dibuat Peraturannya;non-clickbait;0
Kapoldasu Ancam Pelajar yang Ikut Demo, Bakal Nggak Bisa jadi PNS atau Karyawan BUMN;non-clickbait;0
Dua Saudara Tewas Terjepit Truk di Simalungun, Sempat Menelpon Abangnya;non-clickbait;0
"Gubsu Evakuasi Warga Tapanuli Utara di Papua, ""Seluruhnya Sehat dan Tidak Mengalami Kekerasan""";non-clickbait;0
Kalahkan Master Nasional, Sukarnedi Sabet Gelar Gala catur Emas II 2019;non-clickbait;0
Final Gala Catur Emas Diramaikan 3 Master Internasional;non-clickbait;0
Atas Desakan Alumni, UGM Batalkan Kuliah Umum UAS;non-clickbait;0
MIS Sabet Juara Umum 2 Kejuaraan Sepatu Roda Piala Wali Kota Pariaman;non-clickbait;0
Eldin Kena OTT, ASN Kompak Tutup Mulut, Wawalkot : Saya Tak Tahu;non-clickbait;0
Bupati Lampung Utara Kena OTT, Warga Potong Kambing Gelar Syukuran;non-clickbait;0
Dahlan Iskan Kupas Tuntas Kapasitas Menteri di Kabinet Indonesia Maju;non-clickbait;0
Tak Terima Ditegur Karena Merokok, Alex Tikam Guru 9 Liang;non-clickbait;0
Seratusan Preman Rusak Masjid di Medan, Polisi : Dugaan Sementara Motifnya Pencurian;non-clickbait;0
PLN Persembahkan Konser Karena Cinta, Judika dan Andmesh Siap Pukau Penonton;non-clickbait;0
R-APBD Kota Medan Disahkan, Tidak Ada Jalan Berlubang dan Banjir Lagi;non-clickbait;0
Komunikasi dan Listrik Padam, Jayapura Makin Mencekam, Wanita Ikut Jaga Malam;non-clickbait;0
Potong Honor Pegawai Hingga 25%, Kepala Puskesmas di Labuhanbatu Kena OTT;non-clickbait;0
